,prof_after_women_postproc,cat,cat_named,freq,cluster_kmeans_NKRL,cluster_agglomerative_NKRL,cluster_kmeans_Taiga,cluster_agglomerative_Taiga,cluster_kmeans_Wiki,cluster_agglomerative_Wiki
0,рабочий,1,Промышленность,32404,5.0,12.0,0.0,1.0,7.0,1.0
1,колхозник,2,Сельское хозяйство,20062,5.0,2.0,0.0,1.0,10.0,1.0
2,бухгалтер,10,"Государственные учреждения, партийные и общественные организации",18379,11.0,5.0,7.0,1.0,3.0,1.0
3,красноармеец,0,Армия,17690,7.0,0.0,3.0,0.0,6.0,1.0
4,начальник,10,"Государственные учреждения, партийные и общественные организации",15213,0.0,3.0,9.0,5.0,0.0,1.0
5,плотник,4,Строительство,14483,5.0,5.0,6.0,1.0,7.0,1.0
6,заведующий,10,"Государственные учреждения, партийные и общественные организации",27580,11.0,3.0,9.0,5.0,0.0,1.0
7,сторож,7,Жилищное и коммунальное хозяйство,13567,3.0,5.0,2.0,1.0,12.0,1.0
8,слесарь,1,Промышленность,12615,1.0,5.0,7.0,1.0,4.0,1.0
9,счетовод,10,"Государственные учреждения, партийные и общественные организации",11781,3.0,5.0,7.0,1.0,3.0,1.0
10,член,11,Нераспределенные по отраслям народного хозяйства и неточно указавшие отрасль,9863,11.0,3.0,9.0,6.0,9.0,3.0
11,бригадир,1,Промышленность,9450,1.0,2.0,7.0,1.0,4.0,1.0
12,мастер,1,Промышленность,8970,5.0,5.0,6.0,1.0,7.0,1.0
13,председатель,10,"Государственные учреждения, партийные и общественные организации",9767,11.0,3.0,9.0,5.0,0.0,1.0
14,чернорабочий,1,Промышленность,7353,5.0,12.0,7.0,1.0,7.0,1.0
15,грузчик,1,Промышленность,6503,1.0,5.0,1.0,1.0,3.0,1.0
16,директор,10,"Государственные учреждения, партийные и общественные организации",6441,11.0,3.0,9.0,5.0,0.0,1.0
17,столяр,1,Промышленность,6410,5.0,5.0,6.0,1.0,7.0,1.0
18,кузнец,1,Промышленность,6392,5.0,5.0,6.0,1.0,7.0,1.0
19,машинист,5,Транспорт и связь,6238,1.0,5.0,1.0,1.0,2.0,1.0
20,конюх,2,Сельское хозяйство,5921,3.0,5.0,10.0,1.0,7.0,1.0
21,кладовщик,6,"Торговля, заготовки и общественное питание",5507,1.0,5.0,7.0,1.0,3.0,1.0
22,учитель,8,"Просвещение, наука, искусство, печать",5380,10.0,6.0,8.0,5.0,9.0,2.0
23,секретарь,10,"Государственные учреждения, партийные и общественные организации",5165,11.0,3.0,9.0,5.0,0.0,1.0
24,инженер,8,"Просвещение, наука, искусство, печать",5148,9.0,6.0,5.0,1.0,1.0,1.0
25,преподаватель,8,"Просвещение, наука, искусство, печать",5147,10.0,6.0,8.0,5.0,9.0,2.0
